"0";"12";"9,812225"
"1";"12";"15,073894"
"2";"12";"17,349808"
"3";"10";"0,519813"
"4";"12";"8,972643"
"5";"10";"6,749632"
"6";"10";"14,651685"
"7";"10";"1,021549"
"8";"12";"7,425045"
"9";"12";"16,777626"
"0";"10";"0,078368"
"1";"12";"5,774027"
"2";"12";"8,185818"
"3";"10";"15,922353"
"4";"10";"2,696082"
"5";"12";"0,785369"
"6";"12";"7,437511"
"7";"12";"3,370570"
"8";"12";"6,440385"
"9";"10";"5,723456"
"0";"12";"8,425374"
"1";"12";"4,183613"
"2";"12";"0,591349"
"3";"10";"0,875831"
"4";"10";"7,898096"
"5";"8";"0,529508"
"6";"10";"4,604030"
"7";"10";"5,808334"
"8";"12";"4,138982"
"9";"10";"2,304873"
"0";"12";"2,995640"
"1";"10";"4,327058"
"2";"10";"8,474626"
"3";"12";"5,015195"
"4";"10";"9,011020"
"5";"10";"1,788774"
"6";"12";"1,066386"
"7";"10";"7,068245"
"8";"8";"2,422120"
"9";"10";"1,490976"
"0";"12";"4,201000"
"1";"10";"4,040037"
"2";"10";"5,284100"
"3";"10";"10,948740"
"4";"12";"22,271408"
"5";"8";"0,139727"
"6";"10";"0,977818"
"7";"12";"12,411076"
"8";"10";"10,032132"
"9";"16";"4,089426"
"0";"10";"2,381488"
"1";"10";"17,007783"
"2";"10";"2,847322"
"3";"10";"10,703053"
"4";"10";"6,082776"
"5";"10";"4,700293"
"6";"12";"2,923164"
"7";"12";"20,156811"
"8";"12";"5,595421"
"9";"10";"1,647844"
"0";"10";"2,735329"
"1";"12";"13,722586"
"2";"10";"7,076074"
"3";"12";"19,539298"
"4";"10";"5,256232"
"5";"10";"2,410156"
"6";"10";"1,445775"
"7";"12";"13,093679"
"8";"10";"15,296548"
"9";"10";"2,343345"
"0";"10";"5,288320"
"1";"12";"15,406910"
"2";"12";"15,293885"
"3";"12";"5,369906"
"4";"10";"2,682705"
"5";"12";"20,740753"
"6";"10";"7,853416"
"7";"12";"10,384322"
"8";"10";"0,662174"
"9";"8";"5,011551"
"0";"12";"5,464027"
"1";"10";"1,831975"
"2";"10";"1,179623"
"3";"10";"0,559616"
"4";"10";"7,596063"
"5";"12";"9,993521"
"6";"10";"16,350167"
"7";"10";"9,825125"
"8";"10";"1,255942"
"9";"12";"13,060092"
"0";"12";"10,012929"
"1";"12";"12,399230"
"2";"10";"4,916019"
"3";"12";"10,155648"
"4";"12";"6,874019"
"5";"10";"2,670350"
"6";"12";"14,648485"
"7";"10";"5,202701"
"8";"8";"10,605947"
"9";"12";"2,519468"
"0";"12";"1,757651"
"1";"10";"2,242544"
"2";"12";"8,895572"
"3";"10";"9,854231"
"4";"10";"0,226215"
"5";"12";"4,733298"
"6";"12";"7,816190"
"7";"12";"11,670972"
"8";"12";"12,331299"
"9";"12";"4,629357"
"0";"12";"13,145232"
"1";"12";"9,592213"
"2";"10";"0,333731"
"3";"10";"1,710431"
"4";"10";"13,142291"
"5";"10";"1,680236"
"6";"12";"21,122261"
"7";"10";"6,143161"
"8";"10";"1,648186"
"9";"12";"4,423215"
"0";"12";"2,617170"
"1";"12";"2,394794"
"2";"10";"12,907988"
"3";"12";"9,690639"
"4";"12";"9,100387"
"5";"10";"21,347713"
"6";"10";"3,233384"
"7";"12";"6,206583"
"8";"10";"11,225748"
"9";"10";"2,466588"
"0";"10";"3,831487"
"1";"8";"1,031850"
"2";"10";"6,157409"
"3";"10";"8,766560"
"4";"8";"0,375880"
"5";"12";"5,921632"
"6";"12";"16,265936"
"7";"10";"7,488072"
"8";"10";"7,255149"
"9";"10";"6,334337"
"0";"12";"3,949518"
"1";"12";"13,971945"
"2";"8";"1,163368"
"3";"10";"2,694479"
"4";"12";"9,605075"
"5";"10";"7,098654"
"6";"16";"17,012843"
"7";"10";"4,626632"
"8";"10";"7,324587"
"9";"10";"2,865756"
"0";"12";"21,095285"
"1";"10";"1,211836"
"2";"10";"7,886900"
"3";"16";"1,326893"
"4";"10";"0,693270"
"5";"10";"4,321311"
"6";"12";"19,818967"
"7";"10";"2,163241"
"8";"10";"1,275158"
"9";"12";"0,562754"
"0";"10";"4,644268"
"1";"12";"4,845249"
"2";"12";"2,548967"
"3";"12";"0,776597"
"4";"10";"2,653143"
"5";"12";"13,635642"
"6";"12";"5,658152"
"7";"12";"11,678645"
"8";"10";"14,931896"
"9";"12";"2,613922"
"0";"12";"15,627646"
"1";"12";"0,858218"
"2";"12";"14,272594"
"3";"16";"2,767204"
"4";"10";"3,946180"
"5";"8";"9,454309"
"6";"10";"13,527560"
"7";"12";"17,859239"
"8";"12";"13,362258"
"9";"12";"1,175247"
"0";"10";"15,032951"
"1";"10";"4,678463"
"2";"10";"0,221922"
"3";"10";"7,284002"
"4";"10";"13,442593"
"5";"10";"1,034727"
"6";"12";"5,800010"
"7";"12";"6,033136"
"8";"10";"4,944441"
"9";"12";"1,860013"
"0";"12";"6,856238"
"1";"8";"1,401047"
"2";"12";"0,637482"
"3";"10";"14,373012"
"4";"10";"1,390836"
"5";"12";"21,553023"
"6";"10";"0,801689"
"7";"12";"21,238680"
"8";"12";"2,426268"
"9";"10";"10,176595"
"0";"12";"9,305951"
"1";"10";"20,865255"
"2";"10";"3,705131"
"3";"10";"5,743862"
"4";"12";"16,621755"
"5";"10";"11,602279"
"6";"10";"11,175106"
"7";"12";"12,975428"
"8";"12";"6,567027"
"9";"12";"6,761483"
"0";"10";"15,705517"
"1";"10";"3,986577"
"2";"12";"1,857001"
"3";"10";"17,125811"
"4";"10";"1,165024"
"5";"12";"9,351388"
"6";"8";"5,731654"
"7";"10";"1,587777"
"8";"10";"5,396232"
"9";"16";"16,246400"
"0";"10";"16,817703"
"1";"10";"21,705989"
"2";"12";"17,937781"
"3";"10";"8,388399"
"4";"10";"13,984909"
"5";"10";"0,462603"
"6";"12";"16,399321"
"7";"10";"4,810545"
"8";"8";"2,001302"
"9";"12";"4,259206"
"0";"12";"9,300801"
"1";"10";"13,403995"
"2";"12";"11,843582"
"3";"10";"4,184749"
"4";"12";"0,728002"
"5";"12";"3,766336"
"6";"12";"22,048595"
"7";"10";"4,575406"
"8";"10";"19,943078"
"9";"10";"6,488283"
"0";"10";"7,873889"
"1";"10";"9,780521"
"2";"10";"3,769229"
"3";"12";"7,640420"
"4";"12";"18,609178"
"5";"12";"4,943914"
"6";"8";"4,838927"
"7";"10";"13,165162"
"8";"10";"0,365526"
